Descriptio	freq	token
"Clay, pink"	171	0
"Clay, red"	996	0
"Clay, red sandy"	172	0
"Clay, sand"	162	0
"Clay, sandy"	2445	0
"Clay, sandy clay"	570	0
"Clay, silty"	124	0
"Clay, white"	904	0
"Clay, white sandy"	423	0
"Clay, white, sandy"	135	0
"Clay, yellow"	1474	0
"Clay, yellow & white"	230	0
"Clay, yellow sandy"	194	0
"Clay,ligneous"	114	0
"Clay,sandy"	273	0
Clay.	660	0
CLAY.	119	0
Clay/claystone	163	0
Clay/claystone - unconsolidated - black clay	141	0
Clay/claystone - unconsolidated - brown clay	132	0
Clay/claystone - unconsolidated - c	118	0
Clay/claystone - unconsolidated - clay	6437	0
Clay/claystone - unconsolidated - clay sand	608	0
Clay/claystone - unconsolidated - clay silt	111	0
"Clay/claystone - unconsolidated - clay, brown, good sorting"	188	0
"Clay/claystone - unconsolidated - clay, brown, medium sorting"	111	0
"Clay/claystone - unconsolidated - clay, grey"	134	0
"Clay/claystone - unconsolidated - clay, light brown"	136	0
"Clay/claystone - unconsolidated - clay, light brown and minor sand"	140	0
"Clay/claystone - unconsolidated - clay, light grey"	372	0
"Clay/claystone - unconsolidated - clay, light grey and minor sand"	131	0
Clay/claystone - unconsolidated - clay/fine - medium sand	122	0
Clay/claystone - unconsolidated - clay/fine medium sand	120	0
Clay/claystone - unconsolidated - clay/fine sand	155	0
"Clay/claystone - unconsolidated - clay: brown, minor sand"	163	0
Clay/claystone - unconsolidated - clay: grey	108	0
Clay/claystone - unconsolidated - clay: light brown	136	0
"Clay/claystone - unconsolidated - clay: light brown, minor sand"	119	0
Clay/claystone - unconsolidated - clay: light grey	354	0
"Clay/claystone - unconsolidated - clay: light grey, minor sand"	263	0
Clay/claystone - unconsolidated - clay+ sand	332	0
Clay/claystone - unconsolidated - clayey sand	842	0
Clay/claystone - unconsolidated - clayey sand+ sandy clay	132	0
Clay/claystone - unconsolidated - clays	104	0
Clay/claystone - unconsolidated - fine medium/sandy clay	151	0
Clay/claystone - unconsolidated - grey clay	320	0
Clay/claystone - unconsolidated - red clay	109	0
Clay/claystone - unconsolidated - sand clay	505	0
Clay/claystone - unconsolidated - sand+ clay	625	0
Clay/claystone - unconsolidated - sand+ sandy clay	725	0
Clay/claystone - unconsolidated - sandy clay	3915	0
Clay/claystone - unconsolidated - silt clay	654	0
Clay/claystone - unconsolidated - yellow clay	101	0
Claybound gravel	941	0
Claybound sand	468	0
Claybound sand & gravel	240	0
Claybound sand and gravel	312	0
Clayed sand	211	0
Clayed sands	120	0
Clayey gravel	504	0
Clayey sand	3451	0
Clayey sand & gravel	110	0
Clayey sand and gravel	169	0
Clayey sandstone	119	0
Clayey silt	1271	0
Clays	1378	0
CLAYS	385	0
"Clays, sandy"	115	0
Claystone	816	2
CLAYSTONE	110	2
Clean gravel	104	0
Clod	116	0
Coal	7083	2
Coal & shale	113	2
Coal bands	100	2
Coal brown	3977	2
Coal shale	149	2
Coal water supply	168	2
Coal wb	200	2
Coal weathered	113	0
Coarse brown sand	427	0
Coarse drift	140	0
Coarse gravel	1321	0
Coarse gravel                      wb	102	0
Coarse grey sand	347	0
Coarse sand	4525	0
Coarse sand & gravel	362	0
Coarse sand and gravel	338	0
Coarse sand wet	491	0
Coarse sand.	268	0
Coarse sands	224	0
Coarse sandstone	345	0
Coarse sandy clay	418	0
Coarse white sand	460	0
Coarse white sand.	163	0
Coarse yellow sand	193	0
Coffee rock	807	2
Coffee rock.	310	2
Coloured clay	937	0
Coloured clays	428	0
Coloured sandy clay	242	0
Concrete	622	5
Conglomerate	1694	2
CONGLOMERATE	118	2
Conglomerate hard	152	1
Conglomerate water supply	158	0
CORAL LIMESTONE	319	2
Coral limestone	170	2
Core loss	119	5
Coring	112	4
Course sand	425	0
Cracky basalt	189	0
